21,"ABDULLAH PUTEH"
22,"ANDRI LISKA, S.I.Kom."
23,"H. ANWAR AHMAD, S.E.,Ak."
24,"BUKHARI MY, S.Sos."
25,"BURHANUDDIN DAUD"
26,"H. FACHRUL RAZI, M.I.P."
27,"TGK. FACHRURRAZI HAMZAH, S.Pd."
28,"FADHLI ABDULLAH ADAM"
29,"FAJRAN ZAIN"
30,"Drs. H. GHAZALI ABBAS ADAN"
31,"Drs. HASANUDDIN DARJO, M.M."
32,"dr. IRSALINA HUSNA AZWIR, S.H."
33,"ISKANDAR, S.E.I."
34,"MASRI GANDARA MARZUKI, S.H."
35,"H. M. FADHIL RAHMI, Lc."
36,"M. FAKHRUDDIN"
37,"MUHAMMAD ALI KUBA"
38,"H. MUKHLIS MUKHTAR, S.H."
39,"H. MUNTASIR HAMID, S.H., M.H."
40,"MURDANI"
41,"MURSALIN, S.H.I."
42,"SUDIRMAN"
43,"TGK. T. ABDUL MUTHALIB"
44,"TARMILIN USMAN, S.E., M.Si."
45,"H. T. BACHRUM MANYAK"
46,"T. SAIFULLAH"
